NAME	Description	GSM3118997	GSM3118998	GSM3118999	GSM3119000	GSM3119001	GSM3119002	GSM3119003	GSM3119004	GSM3119005	GSM3119006	GSM3119007	GSM3119008	GSM3119009	GSM3119010	GSM3119011	GSM3119012	GSM3119013	GSM3119014	GSM3119015	GSM3119016
ENSMUSG00000018387	N/A	501.3	468.29	461.04	466.08	493.9	486.32	388.06	439.3	484.9	443.81	458.28	450.48	464.47	554.77	455.65	464.88	471.33	454.34	431.45	440.72
ENSMUSG00000018395	N/A	5755.8	6835.4	6234.8	6194.7	6185.6	5628	6985.9	6330.9	5723	7369.8	5791.1	7382.6	6436.2	5731.3	7384.1	6165.1	5751.1	7135.6	6836.9	6170.1
ENSMUSG00000018398	N/A	15819	16894	17086	16832	16971	16477	16135	16073	17392	17361	16259	15021	14946	16199	16067	16229	16395	15778	16054	15582
ENSMUSG00000018401	N/A	4195.7	4162.9	4155.5	3761.3	4003.3	3865.4	3875.4	4071.1	3857.6	3697.5	4533.3	4252.2	4437.3	4073.7	4109.7	4518.5	4217.4	4190.9	4366.3	3877.3
ENSMUSG00000018405	N/A	624.79	570.83	548.25	595.47	432.28	633.58	491.77	538.66	450.18	482.88	532.6	552.16	574.66	527.78	422.89	643.01	544.26	415.69	409.12	436.84
ENSMUSG00000018411	N/A	22989	23655	26321	23766	26476	24164	24027	24673	25628	24402	24406	24280	24156	25605	25013	23552	24704	24797	25646	23936
ENSMUSG00000018412	N/A	4743.4	4717.6	4660.9	4374.3	4538	5005.9	4332.6	4184.4	4957.9	4199	4975	4749.7	4431.4	4970	4382.2	5274.4	5348.1	4734.8	4849.6	4791
ENSMUSG00000018415	N/A	2629.4	2651.5	2736.2	2768.8	2673.3	2721.6	2762.2	2795.1	2680.7	2602.4	2656.1	2847.2	3071.2	2888.6	2869.4	2603.9	2791.9	2744.9	2771.6	3042.4
ENSMUSG00000018417	N/A	1842.6	1990.2	1846.7	2076.6	1689.3	2018.3	2025	2059.4	1878.5	1933.4	1056.9	1453.1	1336.5	1368.7	1502.4	1277.3	1181.4	1331.9	1360.6	1487.6
ENSMUSG00000018425	N/A	709.77	818.7	835.39	819.09	709.09	827.65	904.03	882.71	814.15	842.95	828.48	921.73	933.67	970.51	947.03	808.11	938.05	934.13	988.95	966.74
ENSMUSG00000018427	N/A	2280.9	1983.8	2283.3	2233.7	2193.6	2585.7	2321.4	2295	2356.2	2083.2	2115.2	2157.3	2087.7	2127.3	2194.8	2094.1	2149.4	1928.6	2140.7	2194.5
ENSMUSG00000018428	N/A	1874.4	2037.9	1993.1	1858	1751.9	2220.4	1767.4	1891.9	1961.1	1712	1472.6	1581	1401.7	1656.2	1420.5	1393.2	1614.3	1650.5	1544.3	1389.4
ENSMUSG00000018433	N/A	973.87	954.34	973.6	1051.5	966.94	1003.5	980.09	952.5	986.56	964.84	937.2	1012.5	1035.6	970.51	978.3	929.76	903.51	888.89	957.25	947.35
ENSMUSG00000018442	N/A	888.89	818.7	864.46	987.43	923.33	872.17	858.23	956.61	842.88	857.84	1056.9	950.16	1116.1	1125.7	1127.2	1126.7	1054	1135.9	1048	1116.7
ENSMUSG00000018446	N/A	1445.8	1623.7	1564.7	1405.8	1313	1545.7	1422.6	1493.6	1370.9	1454.2	1442.3	1342.7	1406.4	1407.9	1237.4	1357	1375.6	1438.4	1419	1254.9
ENSMUSG00000018449	N/A	416.33	444.07	424.83	388.19	424.69	398.42	395.84	393.32	372.35	334.02	411.49	382.69	388.63	467.03	477.98	380.88	356.95	431.72	422.8	390.31
ENSMUSG00000018451	N/A	8752	7654.1	8007.6	7723.6	7491.9	8187.5	7657.5	7950.9	7784.7	7397.7	8050.9	7996	7374.6	7635.9	7017.8	8334.5	7862.2	7767.2	7660.2	7138.1
ENSMUSG00000018459	N/A	386.98	552.26	585.99	589.19	499.58	492.03	600.67	572.32	626.18	512.66	349.56	476.72	581.77	624.96	442.24	412.74	492.82	548.6	512.84	562.21
ENSMUSG00000018470	N/A	2116.5	2101.7	2214.4	1788.9	2331.1	1776.3	1940.3	2277	2183.8	2198.6	1950.1	2010.7	1968.1	1984.2	2379.5	1662.6	1822.4	1934.2	2228.5	2150.6
ENSMUSG00000018474	N/A	27343	26617	25944	26819	26975	28400	25081	27788	28397	27259	25530	23870	24866	26192	25494	28595	28899	24273	25878	25202
ENSMUSG00000018476	N/A	808.81	901.05	824.17	801.5	812.42	1018.3	987.87	783.35	1011.7	943.44	1157.4	1121.8	1059.3	1271.5	1078.1	1455.5	1283.5	1318.7	1238.9	1012
ENSMUSG00000018479	N/A	3.0567	0.8074	1.53	2.5125	1.896	1.1416	0	1.6422	2.3946	1.8608	1.3762	0	2.3697	1.3498	0	0	1.5353	2.8278	0	5.1697
ENSMUSG00000018481	N/A	4052	3932.8	3849	4133.1	4162.6	3747.8	4267.8	3791.1	3998.9	4546	4222.2	4158.2	4246.5	3770	4617.5	4215.8	3877.3	4125.8	4529.1	4188.8
ENSMUSG00000018486	N/A	1.834	4.8444	5.61	2.5125	7.5838	3.4248	1.7286	4.1056	8.3809	10.235	15.138	12.027	28.437	22.947	13.401	15.93	6.1411	14.139	15.846	7.7546
ENSMUSG00000018500	N/A	111.26	91.236	96.901	86.683	82.474	105.03	101.12	91.966	86.204	81.876	72.94	65.603	75.831	93.137	113.17	112.96	101.33	91.434	90.035	112.44
ENSMUSG00000018501	N/A	8750.8	11014	9093.4	9851.7	11488	8298.2	9871.8	8860.7	9549.5	10931	8733.5	10436	10176	9593.1	11617	8579.3	8785.6	11183	10554	10635
ENSMUSG00000018507	N/A	971.43	842.11	893.53	876.88	888.26	1077.7	935.15	983.71	967.4	954.6	872.52	817.86	791.49	793.69	731.12	909.49	819.84	784.26	834.08	730.22
ENSMUSG00000018509	N/A	626.02	610.39	573.75	643.21	585.85	638.15	565.24	563.29	626.18	576.86	617.92	659.31	541.48	641.16	558.39	593.77	621.02	565.57	525.08	682.4
ENSMUSG00000018537	N/A	1342.5	1417	1407.6	1484.9	1623.9	1407.6	1214.3	1356.5	1694.1	1304.4	1058.3	1115.3	1069.9	1102.8	1064.7	1031.1	1086.2	1031.2	1119.3	1048.2
ENSMUSG00000018541	N/A	675.54	705.66	675.25	770.1	727.1	751.17	764.88	706.99	733.93	684.78	783.07	697.58	791.49	839.58	884.49	834.18	768.41	835.16	726.76	779.34
ENSMUSG00000018543	N/A	2.4454	8.074	3.06	2.5125	0.94798	3.4248	3.4571	4.9267	4.7891	2.7912	5.5049	5.467	4.7394	10.798	4.4671	4.3447	6.9087	9.4262	7.9231	10.339
ENSMUSG00000018547	N/A	7017	7120.4	7263.5	7190.9	7457.8	7375.8	7048.2	7413.9	7369.2	7178.1	7940.8	7792.6	7339	7741.2	7641.7	7724.8	7848.3	7932.1	7949.7	7241.5
ENSMUSG00000018548	N/A	16935	16948	16557	16648	16732	15716	17449	16535	15203	18129	17750	18432	18544	16403	19177	17263	16554	17215	17929	17418
ENSMUSG00000018554	N/A	184.63	186.51	178.5	187.18	218.04	230.6	152.98	160.12	202.34	192.6	176.16	108.25	127.97	230.82	117.63	124.55	159.67	131.02	89.315	192.57
ENSMUSG00000018559	N/A	2245.5	1742.4	2079.3	1834.2	1829.6	2359.7	2169.3	2037.2	1846.2	1845.9	2329.9	1882.8	1985.8	1972.1	1910.4	2421.4	1998.9	2123.7	2173.8	1911.5
