Name	Log2ratio_Log10fdr
Ppm1e	2.406783308
Zim1	2.404678913
Lipa	2.398224092
Ppp1r16b	2.39708942
Phospho2	2.387562713
Crem	2.383910959
Ivns1abp	2.37886317
Ipmk	2.378559468
Ctla2b	2.366686911
Gm10069	2.364426743
Ticam1	2.362873386
Ccnl2	2.362338029
Tubgcp6	2.353340561
Tbc1d8b	2.343800734
Gm14685	2.341888998
Tra2a	2.334240139
Ccdc6	2.333334306
Usp54	2.333182095
Brd8dc	2.326113831
Itga8	2.32420977
Peli1	2.32014327
Hhipl2	2.315427252
Chek1	2.302586309
Map4k3	2.299218136
Lrrk2	2.295672106
Prrt1	2.292964167
Otud6b	2.292174987
8030462N17Rik	2.289726811
Trpv4	2.288267003
Napepld	2.286700648
Myo19	2.285460341
St8sia3	2.284564225
Emilin2	2.282004595
Dnase1l2	2.27772156
Gpr68	2.277016744
Atg12	2.274967122
Lgalsl	2.272393402
Adgrl4	2.269756728
S100a10	2.26511387
Ak7	2.258842191
Rpn1	2.257024332
Insl5	2.256966348
Eri1	2.256027249
Ube2w	2.248808947
Spx	2.24562997
Mybl2	2.239718872
E030013I19Rik	2.236706896
Calhm2	2.225203487
Wipf2	2.223452895
Igsf9b	2.214260973
Dzip1l	2.213854338
Spred2	2.2108572
D430019H16Rik	2.209351937
Katnip	2.204686104
Dram1	2.204621906
Ccdc137	2.202987471
Map2k6	2.201296116
Kif26b	2.189872703
Nuak1	2.183268177
Pcf11	2.17943087
B3galt5	2.173463068
Col4a2	2.166921103
Gadd45b	2.164196325
Cbln2	2.145993953
Pkd1l1	2.145892877
Traip	2.139647944
Dnajc28	2.138574026
Kdm7a	2.131880724
Mc5r	2.131034576
Zdhhc5	2.130587142
Kbtbd2	2.127740431
Ccdc134	2.117271251
Btbd9	2.107644124
Ifrd1	2.099329494
Mical2	2.094440384
Lratd1	2.092309271
Nudt5	2.091262554
Mdm2	2.090388054
Mafg	2.079550984
Rara	2.071679528
Fam91a1	2.07000578
Dyrk3	2.067185987
C1galt1c1	2.066804748
Siah3	2.064814914
Ptpn22	2.062889393
Tekt2	2.062328089
